StateCode,Name,AnsiCode,FipsCode
AA,,,     
AE,,,     
AK,ALEUTIANS EAST,013,013  
AK,ALEUTIANS WEST,016,016  
AK,ANCHORAGE,020,020  
AK,BETHEL,050,050  
AK,BRISTOL BAY,060,060  
AK,DENALI,068,068  
AK,DILLINGHAM,070,070  
AK,FAIRBANKS NORTH STAR,090,090  
AK,HAINES,100,100  
AK,HOONAH ANGOON,105,105  
AK,JUNEAU,110,110  
AK,KENAI PENINSULA,122,122  
AK,KETCHIKAN GATEWAY,130,130  
AK,KODIAK ISLAND,150,150  
AK,LAKE AND PENINSULA,164,164  
AK,MATANUSKA SUSITNA,170,170  
AK,NOME,180,180  
AK,NORTH SLOPE,185,185  
AK,NORTHWEST ARCTIC,188,188  
AK,PETERSBURG,195,195  
AK,PRINCE OF WALES HYDER,198,198  
AK,SITKA,220,220  
AK,SKAGWAY,230,230  
AK,SOUTHEAST FAIRBANKS,240,240  
AK,VALDEZ CORDOVA,261,261  
AK,WADE HAMPTON,270,270  
AK,WRANGELL,275,275  
AK,YAKUTAT,282,282  
AK,YUKON KOYUKUK,290,290  
AL,AUTAUGA,001,001  
AL,BALDWIN,003,003  
AL,BARBOUR,005,005  
AL,BIBB,007,007  
AL,BLOUNT,009,009  
AL,BULLOCK,011,011  
AL,BUTLER,013,013  
AL,CALHOUN,015,015  
AL,CHAMBERS,017,017  
AL,CHEROKEE,019,019  
AL,CHILTON,021,021  
AL,CHOCTAW,023,023  
AL,CLARKE,025,025  
AL,CLAY,027,027  
AL,CLEBURNE,029,029  
AL,COFFEE,031,031  
AL,COLBERT,033,033  
AL,CONECUH,035,035  
AL,COOSA,037,037  
AL,COVINGTON,039,039  
AL,CRENSHAW,041,041  
AL,CULLMAN,043,043  
AL,DALE,045,045  
AL,DALLAS,047,047  
AL,DE KALB,049,049  
AL,ELMORE,051,051  
AL,ESCAMBIA,053,053  
AL,ETOWAH,055,055  
AL,FAYETTE,057,057  
AL,FRANKLIN,059,059  
AL,GENEVA,061,061  
AL,GREENE,063,063  
AL,HALE,065,065  
AL,HENRY,067,067  
AL,HOUSTON,069,069  
AL,JACKSON,071,071  
AL,JEFFERSON,073,073  
AL,LAMAR,075,075  
AL,LAUDERDALE,077,077  
AL,LAWRENCE,079,079  
AL,LEE,081,081  
AL,LIMESTONE,083,083  
AL,LOWNDES,085,085  
AL,MACON,087,087  
AL,MADISON,089,089  
AL,MARENGO,091,091  
AL,MARION,093,093  
AL,MARSHALL,095,095  
AL,MOBILE,097,097  
AL,MONROE,099,099  
AL,MONTGOMERY,101,101  
AL,MORGAN,103,103  
AL,PERRY,105,105  
AL,PICKENS,107,107  
AL,PIKE,109,109  
